步骤,测试步骤描述,前置条件,预期结果
1,用户登录系统，输入账号并提交登录,用户已打开登录页面,登录成功，进入反馈列表页面
2,用户进入反馈新增页面，填写联系人姓名为“w”,用户已登录并在反馈列表页面,联系人姓名输入框显示“w”
3,用户填写联系人手机号为最终手机号,用户已进入反馈新增页面,手机号输入框显示最终手机号
4,用户填写反馈内容为“发票有点模糊”,用户已填写联系人姓名和手机号,反馈内容输入框显示“发票有点模糊”
5,用户点击确认提交反馈,用户已填写联系人姓名、手机号和反馈内容,反馈保存成功，页面提示保存成功，反馈列表显示新增反馈
6,用户修改联系人姓名为“www”,用户已成功提交反馈并进入反馈编辑页面,联系人姓名输入框显示“www”
7,用户填写回复内容为“稍后和您俩逆袭——”,用户已进入反馈回复页面,回复内容输入框显示“稍后和您俩逆袭——”
8,用户上传图片文件,用户已进入反馈回复页面,图片上传成功，页面显示上传文件名
9,用户点击提交回复,用户已填写回复内容并上传图片,回复保存成功，页面提示保存成功，反馈详情显示回复内容和图片
10,联系人姓名必填校验：联系人姓名为空时保存失败,用户进入反馈新增页面，联系人姓名为空,保存失败，页面提示“不能为空/请填写”
11,联系人手机号必填校验：手机号为空时保存失败,用户进入反馈新增页面，手机号为空,保存失败，页面提示“不能为空/请填写”
12,联系人手机号格式校验：手机号为非数字或长度不符时保存失败,用户进入反馈新增页面，手机号输入非数字或长度不符,保存失败，页面提示“请输入正确的手机号”
